Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	0	0	0	0
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	0	0	0	0
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
1	0	combined	Drop	0	0	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1.5	0	combined	Drop	0	0	0	0
1.5	1	combined	Drop	0	0	0	0
1.5	2	combined	Drop	0	0	0	0
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	0	0	0	0
2	0	combined	Drop	0	0	0	0
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	0	0	0	0
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	0	0	0	0
2.5	0	combined	Drop	0	0	0	0
2.5	1	combined	Drop	0	0	0	0
2.5	2	combined	Drop	0	0	0	0
2.5	3	combined	Drop	0	0	0	0
2.5	4	combined	Drop	0	0	0	0
3	0	combined	Drop	0	0	0	0
3	1	combined	Drop	0	0	0	0
3	2	combined	Drop	0	0	0	0
3	3	combined	Drop	0	0	0	0
3	4	combined	Drop	0	0	0	0
3.5	0	combined	Drop	0	0	0	0
3.5	1	combined	Drop	0	0	0	0
3.5	2	combined	Drop	0	0	0	0
3.5	3	combined	Drop	0	0	0	0
3.5	4	combined	Drop	0	0	0	0
4	0	combined	Drop	0	0	0	0
4	1	combined	Drop	0	0	0	0
4	2	combined	Drop	0	0	0	0
4	3	combined	Drop	0	0	0	0
4	4	combined	Drop	0	0	0	0
4.5	0	combined	Drop	0	0	0	0
4.5	1	combined	Drop	0	0	0	0
4.5	2	combined	Drop	0	0	0	0
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	0	0	0	0
5	0	combined	Drop	0	0	0	0
5	1	combined	Drop	0	0	0	0
5	2	combined	Drop	0	0	0	0
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	0	0	0	0
5.5	0	combined	Drop	0	0	0	0
5.5	1	combined	Drop	0	0	0	0
5.5	2	combined	Drop	0	0	0	0
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	0	0	0	0
6	0	combined	Drop	0	0	0	0
6	1	combined	Drop	0	0	0	0
6	2	combined	Drop	0	0	0	0
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	0	0	0	0
6.5	0	combined	Drop	0	0	0	0
6.5	1	combined	Drop	0	0	0	0
6.5	2	combined	Drop	0	0	0	0
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	0	0	0	0
7	0	combined	Drop	0	0	0	0
7	1	combined	Drop	0	0	0	0
7	2	combined	Drop	0	0	0	0
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	0	0	0	0
7.5	0	combined	Drop	0	0	0	0
7.5	1	combined	Drop	0	0	0	0
7.5	2	combined	Drop	0	0	0	0
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	0	0	0	0
8	0	combined	Drop	0	0	0	0
8	1	combined	Drop	0	0	0	0
8	2	combined	Drop	0	0	0	0
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	0	0	0	0
8.5	0	combined	Drop	0	0	0	0
8.5	1	combined	Drop	0	0	0	0
8.5	2	combined	Drop	0	0	0	0
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	0	0	0	0
9	0	combined	Drop	0	0	0	0
9	1	combined	Drop	0	0	0	0
9	2	combined	Drop	0	0	0	0
9	3	combined	Drop	0	0	0	0
9	4	combined	Drop	0	0	0	0
9.5	0	combined	Drop	0	0	0	0
9.5	1	combined	Drop	0	0	0	0
9.5	2	combined	Drop	0	0	0	0
9.5	3	combined	Drop	0	0	0	0
9.5	4	combined	Drop	0	0	0	0
10	0	combined	Drop	0	0	0	0
10	1	combined	Drop	0	0	0	0
10	2	combined	Drop	0	0	0	0
10	3	combined	Drop	0	0	0	0
